date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Lower Band,Real Upper Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-05-24,33.46,33.52,32.43,26.0982866988,2748700.0,0.2656,-0.7459,-1.0114,23.2209,28.1809,25.7009,47.8823,25.4047,25.0798,-4.9078,-69.596,1.2408,True
2012-05-25,32.6,33.4,32.57,26.6120641054,1545700.0,0.3273,-0.6023,-0.9296,23.31,27.9754,25.6427,51.3091,25.9072,25.1612,-5.4226,-61.2821,1.2408,True
2012-05-29,33.55,34.51,33.21,27.6556744624,1916300.0,0.424,-0.3996,-0.8236,23.313,27.97,25.6415,57.4043,26.4756,25.3298,-0.3177,-32.3889,2.469,True
2012-05-30,33.95,34.05,32.87,26.5398141576,2623700.0,0.3986,-0.3254,-0.724,23.4052,27.7654,25.5853,50.2045,26.763,25.4106,-2.5751,-50.6751,1.3126,True
2012-05-31,33.28,33.385,32.47,26.5719252455,1915700.0,0.3705,-0.2609,-0.6313,23.5586,27.4771,25.5179,50.3963,26.6956,25.5192,-4.234,-58.1546,0.0371,True
2012-06-01,32.43,32.67,30.86,24.8700375863,3889200.0,0.2305,-0.3432,-0.5737,23.5337,27.311,25.4223,41.3508,26.4499,25.5246,-5.9315,-93.689,5.2063,True
2012-06-04,31.22,31.65,30.175,24.5087878473,3973200.0,0.1129,-0.4325,-0.5455,23.4479,27.3085,25.3782,39.7291,26.0292,25.5026,-5.1259,-107.9211,7.2808,True
2012-06-05,30.58,31.49,30.385,25.2152317813,3605300.0,0.0834,-0.4413,-0.5246,23.4542,27.311,25.3826,44.3057,25.5412,25.5176,-1.563,-96.4176,7.2808,True
2012-06-06,31.8,32.99,31.58,26.4675642098,2529900.0,0.1452,-0.3432,-0.4883,23.4545,27.4247,25.4396,51.3257,25.5267,25.6204,4.168,-58.8424,2.215,True
2012-06-07,33.43,33.48,32.86,26.4515086658,2310100.0,0.1797,-0.2637,-0.4434,23.4969,27.5333,25.5151,51.237,25.5026,25.737,7.1703,-42.7437,0.6363,True
2012-06-08,32.83,34.04,32.5,27.1659803718,2511900.0,0.2416,-0.1414,-0.383,23.5228,27.7449,25.6339,54.9495,25.9618,25.9388,8.5805,-32.2398,1.1382,True
2012-06-11,34.09,34.26,33.14,26.6843140532,1544300.0,0.2405,-0.0824,-0.3229,23.601,27.8514,25.7262,52.0852,26.3969,26.1111,9.9839,-28.7242,1.8298,True
2012-06-12,33.31,34.17,33.31,27.2302025476,1847100.0,0.2649,0.0083,-0.2567,23.6449,28.0314,25.8382,54.9375,26.7999,26.2722,8.6486,-20.7561,1.8298,True
2012-06-13,33.91,34.49,33.65,27.3265358114,2058000.0,0.2749,0.0869,-0.188,23.7156,28.2008,25.9582,55.439,26.9717,26.4205,8.9387,-12.4851,2.8521,True
2012-06-14,33.79,33.8,32.655,26.8609250367,2370900.0,0.2387,0.1104,-0.1283,23.8685,28.2639,26.0662,52.4178,27.0536,26.4173,7.2401,-28.6541,0.0446,True
2012-06-15,33.36,34.34,33.34,27.4737831282,1828900.0,0.2438,0.1764,-0.0673,24.1418,28.324,26.2329,55.8137,27.1152,26.509,11.4888,-8.7252,1.7886,True
2012-06-18,33.95,35.075,33.81,28.0301937639,1716300.0,0.2703,0.2705,0.0002,24.441,28.4178,26.4294,58.6822,27.3843,26.6035,16.4726,11.0399,4.1045,True
2012-06-19,34.92,35.0,34.4,27.9818102303,1915200.0,0.2697,0.3373,0.0677,24.635,28.5406,26.5878,58.3294,27.5346,26.6252,13.7419,17.3628,4.1045,True
2012-06-20,34.8,35.54,34.79,28.441453799,2926700.0,0.2839,0.4225,0.1386,24.7678,28.7417,26.7548,60.7322,27.7576,26.752,13.622,34.7669,5.7924,True
2012-06-21,35.25,35.39,34.39,27.8044039407,2317300.0,0.236,0.4336,0.1976,24.761,28.8381,26.7995,55.942,27.9463,26.8342,5.8332,23.7864,4.4081,True
2012-06-22,34.46,35.05,34.38,28.0624494529,5552000.0,0.2082,0.4579,0.2497,24.815,28.9804,26.8977,57.4003,28.0641,27.047,5.0353,25.9521,4.3733,True
2012-06-25,34.38,34.64,34.045,27.5866780398,2359200.0,0.1473,0.4338,0.2865,24.8472,29.0457,26.9465,53.8776,27.9754,27.2522,4.1796,13.8415,3.204,True
2012-06-26,34.3,34.62,33.96,27.7318286404,1865600.0,0.108,0.4215,0.3135,24.8456,29.0549,26.9503,54.7846,27.9254,27.42,0.7705,17.7203,2.9065,True
2012-06-27,34.42,35.06,34.33,28.1430886755,1141500.0,0.1011,0.4399,0.3388,24.873,29.1879,27.0304,57.3319,27.8657,27.5317,3.4299,36.3624,4.3578,True
2012-06-28,34.51,34.74,33.93,27.6673172623,1694100.0,0.0581,0.4114,0.3533,24.9215,29.2489,27.0852,53.5898,27.8383,27.6127,4.5273,23.8889,2.9354,True
2012-06-29,35.02,35.94,35.019,28.9494809011,1899000.0,0.1066,0.4866,0.38,25.2327,29.3456,27.2892,60.9495,28.0157,27.7316,10.5046,74.5363,6.8105,True
2012-07-02,35.77,36.19,35.27,28.6188600886,2185500.0,0.1069,0.5136,0.4067,25.8013,29.1881,27.4947,58.3912,28.2221,27.8606,14.8593,78.1571,7.5922,True
2012-07-03,35.56,35.8,35.44,28.820458145,980300.0,0.1107,0.545,0.4344,26.2432,29.1067,27.6749,59.5018,28.4398,27.9666,14.1988,80.77,7.5922,True
2012-07-05,35.74,35.96,35.47,28.6914353889,857600.0,0.095,0.5531,0.4581,26.4021,29.1702,27.7861,58.4324,28.5495,28.0576,9.4936,82.8576,8.1023,True
2012-07-06,35.5,35.52,34.07,27.8044039407,1471600.0,0.0194,0.4824,0.463,26.6124,29.0952,27.8538,51.601,28.5769,28.1205,6.5709,46.9178,3.0404,True
2012-07-09,34.5,34.599,33.12,26.8447971922,2197400.0,-0.0944,0.3449,0.4394,26.5535,29.1219,27.8377,45.443,28.156,28.0786,2.0999,8.6097,0.1849,False
2012-07-10,33.6,34.07,33.25,26.9576921037,2133800.0,-0.1576,0.2423,0.3999,26.6116,29.0912,27.8514,46.2515,27.8238,28.0071,-0.1068,7.8701,0.1849,False
2012-07-11,33.41,33.55,32.93,26.6915826693,1894000.0,-0.2096,0.1379,0.3475,26.5106,29.1383,27.8245,44.5829,27.398,27.9211,-1.3723,-6.6921,1.2616,False
2012-07-12,32.92,32.99,32.14,26.2722587119,2114000.0,-0.2611,0.0211,0.2823,26.3064,29.2371,27.7717,42.0233,26.9141,27.7764,-3.9184,-32.5178,3.865,False
2012-07-13,32.55,33.25,32.48,26.7319022806,1679100.0,-0.253,-0.034,0.219,26.2829,29.2477,27.7653,45.6856,26.6996,27.7049,-1.6272,-11.122,2.9564,False
2012-07-16,32.97,33.09,32.38,26.401281468,1376100.0,-0.2577,-0.1031,0.1546,26.1176,29.3057,27.7117,43.5648,26.6109,27.5942,-3.6401,-19.8963,3.2873,False
2012-07-17,33.1,33.2186,32.57,26.6431991357,1803800.0,-0.2331,-0.1368,0.0963,25.9901,29.2946,27.6423,45.5465,26.548,27.5313,-5.2927,-8.3948,2.8288,False
2012-07-18,32.99,34.05,32.91,27.247993305,2123000.0,-0.1678,-0.1134,0.0544,25.9526,29.2587,27.6056,50.2281,26.6593,27.4991,-2.7143,23.8629,0.0874,False
2012-07-19,34.53,36.4,34.42,29.0623758127,3467500.0,-0.0027,0.0509,0.0537,25.9008,29.3726,27.6367,61.0044,27.2174,27.5603,2.4198,122.1904,7.6184,False
2012-07-20,35.95,36.0,35.25,28.4495177212,1496100.0,0.0613,0.1302,0.069,25.8981,29.4397,27.6689,56.5716,27.5609,27.6125,1.7237,114.9357,7.6184,True
2012-07-23,34.64,34.8,33.73,27.8124678629,1510100.0,0.0569,0.1401,0.0832,25.8934,29.4195,27.6564,52.3362,27.8431,27.5367,-0.7133,57.8747,2.4527,True
2012-07-24,34.68,35.09,33.77,27.562486273,975800.0,0.0344,0.1262,0.0918,25.892,29.4185,27.6552,50.7391,28.027,27.4663,1.2991,58.6441,3.3528,True
2012-07-25,34.13,34.75,33.82,27.5866780398,2047000.0,0.0193,0.1159,0.0966,25.8848,29.4111,27.648,50.8945,28.0947,27.384,0.3755,54.3161,3.3528,True
2012-07-26,35.01,35.73,35.0,28.5785404773,1310100.0,0.0712,0.1856,0.1144,25.8723,29.4672,27.6697,56.8704,27.9979,27.3765,1.911,108.369,6.372,True
