date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-05-01,30.97,31.16,30.74,22.8286909323,1888600.0,-0.1069,0.0177,-0.1246,22.9207,23.438,22.4034,46.1413,22.907,22.8395,-2.1357,-93.3144,1.6927,True
2012-05-02,30.81,30.81,30.52,22.7104841184,2275900.0,-0.1119,0.0101,-0.122,22.8734,23.2725,22.4743,43.75,22.8834,22.8287,-3.9589,-139.4622,3.3932,True
2012-05-03,30.8,30.82,30.56,22.6292169339,1795700.0,-0.121,0.0008,-0.1218,22.8405,23.2048,22.4762,42.1412,22.8124,22.8001,-2.8679,-137.6322,3.3106,True
2012-05-04,30.26,30.29,29.89,22.341087825,2414500.0,-0.1497,-0.0223,-0.1274,22.7921,23.1518,22.4324,36.9762,22.6795,22.7711,-3.0283,-191.5097,5.9866,False
2012-05-07,29.86,30.0,29.77,22.2589514727,1832500.0,-0.1771,-0.0398,-0.1373,22.7581,23.1791,22.3371,35.6419,22.5537,22.7311,-2.9733,-212.4042,6.8938,False
2012-05-08,29.68,30.13,29.65,22.468025824,3276400.0,-0.1799,-0.034,-0.1458,22.75,23.1865,22.3136,41.408,22.4816,22.6933,-2.0828,-181.7217,5.7693,False
2012-05-09,29.77,30.155,29.58,22.3336208839,2837400.0,-0.1907,-0.0359,-0.1548,22.7231,23.1913,22.2548,39.0013,22.4062,22.6568,-1.6537,-183.6025,6.309,False
2012-05-10,30.1,30.24,29.75,22.2962861783,2126300.0,-0.2,-0.0361,-0.1638,22.685,23.1619,22.2081,38.3381,22.3396,22.6277,-2.1657,-162.5178,5.5624,False
2012-05-11,29.7,30.22,29.7,22.3336208839,1556700.0,-0.202,-0.0305,-0.1715,22.6628,23.1613,22.1643,39.4414,22.3381,22.6016,-2.0423,-154.3255,5.9575,False
2012-05-14,29.75,29.99,29.64,22.3186870017,1758300.0,-0.2025,-0.0248,-0.1777,22.6358,23.1474,22.1243,39.1412,22.35,22.5834,-2.4123,-162.3977,6.4352,False
2012-05-15,29.92,30.23,29.77,22.4456250007,2771900.0,-0.1904,-0.0102,-0.1802,22.6063,23.0895,22.1232,43.0858,22.3456,22.578,-2.3544,-128.2878,4.2806,False
2012-05-16,30.23,30.39,30.06,22.594963823,3532600.0,-0.1669,0.0107,-0.1775,22.5921,23.0586,22.1256,47.3844,22.3978,22.5625,-1.428,-91.0474,2.8687,True
2012-05-17,30.21,30.28,29.91,22.3336208839,3727600.0,-0.1674,0.0081,-0.1755,22.5721,23.0469,22.0973,41.5064,22.4053,22.5191,-1.246,-116.5485,4.1065,True
2012-05-18,30.03,30.03,29.36,21.960273828,3364300.0,-0.1956,-0.0161,-0.1795,22.5339,23.0722,21.9956,34.8832,22.3306,22.4494,-2.2191,-170.3751,8.4564,False
2012-05-21,29.38,29.77,29.12,22.2290837083,3609500.0,-0.1941,-0.0117,-0.1824,22.5157,23.0692,21.9622,42.0204,22.3127,22.4055,-1.8643,-167.5705,10.2627,False
2012-05-22,29.83,30.06,29.61,22.3261539428,2033300.0,-0.183,-0.0004,-0.1826,22.5057,23.0653,21.9462,44.3791,22.2888,22.372,-1.3588,-120.181,7.6524,False
2012-05-23,29.77,30.265,29.6,22.5426952352,3115700.0,-0.1549,0.0221,-0.177,22.4914,23.0315,21.9513,49.3081,22.2784,22.3608,-1.0715,-94.7449,5.851,True
2012-05-24,30.37,30.59,30.15,22.7144348809,2063900.0,-0.1174,0.0477,-0.1651,22.478,22.9804,21.9755,52.858,22.3545,22.3665,-0.7475,-44.6817,3.0704,True
2012-05-25,30.41,30.5,30.1,22.6173646464,1569600.0,-0.0944,0.0565,-0.151,22.4585,22.9047,22.0124,50.7075,22.4859,22.3849,-1.5137,-54.6189,3.4671,True
2012-05-29,30.44,30.63,30.19,22.721901822,1712100.0,-0.067,0.0671,-0.1342,22.4502,22.8695,22.0309,52.9177,22.5845,22.4158,-0.5219,-37.3969,2.3593,True
2012-05-30,30.25,30.32,30.03,22.4754927651,1634500.0,-0.0645,0.0558,-0.1202,22.4326,22.8147,22.0504,47.5349,22.6144,22.4163,-1.6551,-70.6662,3.6505,True
2012-05-31,30.09,30.22,29.91,22.3784225306,3548200.0,-0.0695,0.0406,-0.1101,22.416,22.7766,22.0553,45.5781,22.5815,22.4192,-0.8659,-83.2808,4.6126,True
2012-06-01,29.49,29.73,29.15,21.8632035935,3610700.0,-0.1137,-0.0029,-0.1108,22.3777,22.7975,21.9579,36.9321,22.4113,22.3904,-2.505,-159.3661,10.3763,False
2012-06-04,29.34,29.5601,29.12,21.9378730046,2092400.0,-0.1411,-0.0242,-0.1169,22.3575,22.8191,21.896,38.7366,22.2754,22.364,-2.4097,-156.0507,10.5932,False
2012-06-05,29.32,29.56,29.19,22.0349432392,1770800.0,-0.1532,-0.0291,-0.1241,22.3463,22.8273,21.8653,41.0846,22.138,22.3451,-1.4667,-141.8396,10.5932,False
2012-06-06,29.69,30.37,29.69,22.6771001753,4211400.0,-0.1097,0.0115,-0.1212,22.3568,22.8566,21.8569,53.6704,22.1783,22.3605,0.7965,-52.5736,3.5937,True
2012-06-07,30.68,30.9073,30.59,22.8936414678,2575500.0,-0.0571,0.0513,-0.1084,22.3848,22.9364,21.8332,56.9899,22.2814,22.3804,2.4948,19.4593,0.648,True
2012-06-08,30.69,31.065,30.57,23.1549844069,2244600.0,0.0056,0.0912,-0.0856,22.4277,23.0711,21.7843,60.637,22.5397,22.4352,2.7282,41.5718,1.8476,True
2012-06-11,31.2,31.25,30.78,23.0131125256,1644200.0,0.0433,0.1032,-0.0598,22.4617,23.1517,21.7717,57.787,22.7548,22.5054,3.4083,51.8452,3.2413,True
2012-06-12,30.95,31.11,30.8,23.1997860536,1918600.0,0.0873,0.1177,-0.0304,22.5057,23.2629,21.7486,60.4102,22.9877,22.5701,3.7346,59.4917,3.2413,True
