date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2013-04-10,24.21,24.55,24.2,9.87464324299,6008900.0,0.0902,-0.047,0.1372,9.8908,10.0083,9.7733,57.7188,9.8318,9.8876,-0.6073,70.2934,28.4795,False
2013-04-11,24.18,24.52,24.13,9.81405021839,5191000.0,0.08,-0.0458,0.1258,9.8859,10.0075,9.7642,54.1174,9.8153,9.8815,-0.2437,63.4179,27.6074,False
2013-04-12,24.27,24.28,23.96,9.795872311,6464200.0,0.0697,-0.0449,0.1146,9.8762,9.9939,9.7584,53.0534,9.812,9.8775,-2.2151,52.7595,25.5034,False
2013-04-15,23.98,24.32,23.93,9.6746862618,7727900.0,0.0511,-0.0507,0.1019,9.8641,10.0094,9.7188,46.5202,9.7878,9.8592,-1.8167,45.1781,25.7962,False
2013-04-16,24.07,24.24,23.915,9.75547696127,5994500.0,0.0425,-0.0475,0.09,9.8569,10.0085,9.7052,50.844,9.7829,9.8481,-1.6832,45.3859,25.6079,False
2013-04-17,24.0,24.02,23.395,9.60601416724,8357300.0,0.0233,-0.0534,0.0767,9.848,10.0329,9.6631,43.8214,9.7292,9.8268,-2.6348,20.2895,19.3136,False
2013-04-18,23.85,23.85,23.41,9.51714439783,6307200.0,0.0009,-0.0606,0.0615,9.8286,10.0608,9.5964,40.2774,9.6698,9.8007,-3.2454,9.6165,19.3136,False
2013-04-19,23.52,23.715,23.34,9.51310486285,6877100.0,-0.017,-0.0628,0.0458,9.8114,10.0807,9.5422,40.1194,9.6133,9.7703,-3.2436,2.5404,18.487,False
2013-04-22,23.7,23.765,23.41,9.56157928253,6876400.0,-0.027,-0.0582,0.0312,9.792,10.0743,9.5098,42.9948,9.5907,9.749,-3.6294,5.9753,18.8951,False
2013-04-23,23.89,24.29,23.7075,9.75951649624,6834300.0,-0.0187,-0.0399,0.0213,9.784,10.0602,9.5077,52.8916,9.5915,9.7355,-1.7792,36.3588,23.0115,False
2013-04-24,24.15,24.49,24.15,9.84434673069,5624700.0,-0.0052,-0.0212,0.016,9.7799,10.05,9.5098,56.3698,9.6391,9.7334,-1.25,56.0838,24.4961,False
2013-04-25,24.5,24.62,24.1901,9.87666301048,8204400.0,0.008,-0.0064,0.0144,9.7783,10.0457,9.5109,57.6462,9.711,9.732,0.0813,60.8199,25.4464,False
2013-04-26,24.45,24.54,24.3,9.86454440556,3994700.0,0.0173,0.0023,0.015,9.773,10.0291,9.517,56.9765,9.7813,9.7355,-0.8485,59.2318,25.4464,True
2013-04-29,24.45,24.74,24.42,9.93321650011,6972300.0,0.0299,0.0119,0.018,9.7757,10.0371,9.5142,59.8112,9.8557,9.7447,-0.2017,71.066,26.91,True
2013-04-30,24.48,24.54,21.9301,9.81606998587,10019600.0,0.03,0.0097,0.0204,9.7684,10.0165,9.5203,53.3826,9.867,9.7471,-1.0085,-14.989,1.6457,True
2013-05-01,24.24,24.6,24.24,9.83626766074,4147000.0,0.0314,0.0088,0.0226,9.7664,10.0116,9.5212,54.2902,9.8654,9.7446,-0.6462,53.9001,2.1232,True
2013-05-02,24.36,24.69,24.12,9.92109789519,5622800.0,0.0389,0.0131,0.0258,9.7676,10.0156,9.5196,57.9722,9.8742,9.7517,0.6933,57.9887,1.1247,True
2013-05-03,24.74,25.0,24.58,10.0342048744,7049500.0,0.0534,0.022,0.0313,9.7787,10.0522,9.5052,62.3093,9.9082,9.7676,2.6694,90.0695,3.6009,True
2013-05-06,24.81,25.0,24.64,10.0786397592,7334100.0,0.0676,0.029,0.0386,9.7928,10.0961,9.4896,63.8784,9.9373,9.7945,2.9654,94.7925,3.6009,True
2013-05-07,25.0,25.26,24.89,10.1392327838,10302000.0,0.0829,0.0354,0.0475,9.8108,10.1494,9.4723,65.9494,10.0019,9.8201,3.7798,116.2351,5.6504,True
2013-05-08,23.86,24.55,23.54,9.89282115037,21491300.0,0.0742,0.0214,0.0528,9.8117,10.1511,9.4724,52.7673,10.0132,9.8392,0.0,20.922,5.013,True
2013-05-09,24.5,24.53,24.18,9.84434673069,7349500.0,0.0627,0.0079,0.0548,9.8132,10.1529,9.4736,50.634,9.9978,9.861,0.0408,37.9049,5.013,True
2013-05-10,24.41,24.5,24.21,9.83626766074,7012500.0,0.0523,-0.002,0.0543,9.8153,10.1549,9.4756,50.2711,9.9583,9.8826,0.9061,35.6945,5.013,False
2013-05-13,24.33,24.33,23.945,9.78375370608,11321200.0,0.0394,-0.0119,0.0513,9.8207,10.1546,9.4868,47.8811,9.8993,9.8974,0.0411,10.3222,6.9518,False
2013-05-14,24.22,24.55,24.22,9.90493975529,10082600.0,0.0385,-0.0102,0.0488,9.8282,10.1626,9.4937,53.3633,9.8524,9.9071,1.2789,43.2499,5.14,False
2013-05-15,24.33,24.69,24.33,9.96149324492,9034800.0,0.0419,-0.0055,0.0474,9.846,10.1689,9.523,55.6934,9.8662,9.9149,2.7893,60.6216,3.9998,False
2013-05-16,24.61,24.69,24.25,9.81606998587,31033700.0,0.0324,-0.0119,0.0444,9.8609,10.1472,9.5747,48.9545,9.8605,9.9109,3.522,37.4265,4.601,False
2013-05-17,24.37,24.5,24.18,9.81606998587,7196700.0,0.0247,-0.0158,0.0404,9.8761,10.1153,9.6368,48.9545,9.8565,9.9076,3.3101,20.3385,5.1297,False
2013-05-20,24.22,24.32,24.06,9.75547696127,8210500.0,0.0135,-0.0216,0.0351,9.8858,10.0857,9.6858,46.2762,9.8508,9.8958,2.3354,-10.822,6.0374,False
2013-05-21,24.33,24.39,24.02,9.7049827741,7951000.0,0.0005,-0.0276,0.0282,9.883,10.0911,9.6749,44.1209,9.8108,9.8884,0.4117,-23.6932,5.4389,False
2013-05-22,24.06,24.15,23.49,9.54138160767,10649100.0,-0.0227,-0.0407,0.018,9.8679,10.1237,9.6121,37.9804,9.7268,9.8687,-1.3883,-120.0978,9.3772,False
2013-05-23,23.48,23.54,22.99,9.31516764914,13556500.0,-0.0586,-0.0613,0.0027,9.8398,10.191,9.4886,31.488,9.6266,9.8283,-4.3867,-251.5705,12.8591,False
2013-05-24,22.94,23.01,22.3,9.2303374147,9596000.0,-0.0929,-0.0765,-0.0165,9.8081,10.248,9.3682,29.4644,9.5095,9.7747,-6.2347,-341.5936,17.3174,False
2013-05-28,23.01,23.15,22.765,9.25053508957,8651000.0,-0.1171,-0.0805,-0.0366,9.774,10.2718,9.2761,30.6021,9.4085,9.7195,-6.4268,-279.4168,16.0918,False
2013-05-29,22.69,23.0,22.47,9.24245601962,12459400.0,-0.1354,-0.079,-0.0563,9.7453,10.2937,9.1969,30.392,9.316,9.6597,-6.2755,-288.2088,17.929,False
2013-05-30,22.8,23.06,22.71,9.27073276444,7356900.0,-0.1459,-0.0716,-0.0743,9.717,10.3009,9.1331,32.1392,9.2618,9.6183,-6.2602,-240.1875,17.3973,False
2013-05-31,22.8,22.83,22.39,9.04451880591,11305600.0,-0.1705,-0.077,-0.0935,9.6732,10.3176,9.0287,26.449,9.2077,9.5649,-7.5334,-277.4601,19.3689,False
2013-06-03,22.41,22.555,22.11,9.04855834089,11005800.0,-0.1875,-0.0752,-0.1123,9.6239,10.3003,8.9474,26.6973,9.1714,9.5124,-9.78,-276.932,21.0457,False
2013-06-04,22.29,22.41,21.9,8.84658159221,12670300.0,-0.2148,-0.082,-0.1328,9.5623,10.2847,8.8399,22.6084,9.0906,9.45,-10.36,-284.7436,22.2785,False
2013-06-05,21.73,22.0028,21.6,8.73347461294,9620700.0,-0.2428,-0.088,-0.1548,9.492,10.2489,8.7351,20.7057,8.9888,9.3719,-12.8947,-292.0957,24.0025,False
2013-06-06,21.59,21.88,21.41,8.82638391734,9890900.0,-0.2545,-0.0798,-0.1748,9.4387,10.2248,8.6525,26.1739,8.8999,9.2962,-10.8758,-263.2492,25.0729,False
2013-06-07,22.06,22.33,21.92,8.96372810644,9648700.0,-0.2499,-0.0601,-0.1898,9.3946,10.1836,8.6057,33.4436,8.8837,9.2394,-8.9686,-195.7905,20.9691,False
2013-06-10,22.17,22.35,21.905,8.98796531628,9544000.0,-0.2414,-0.0413,-0.2001,9.3522,10.1329,8.5716,34.6601,8.8716,9.1842,-8.7755,-178.9488,20.79,False
2013-06-11,22.13,22.44,21.85,8.89101647692,12724200.0,-0.2398,-0.0318,-0.2081,9.3076,10.0865,8.5287,32.1422,8.8805,9.1265,-7.7682,-172.4729,19.977,False
2013-06-12,22.23,22.51,22.12,8.95968857147,11250300.0,-0.2303,-0.0178,-0.2125,9.2603,10.0024,8.5183,35.6878,8.9258,9.0768,-8.3096,-146.3406,19.3416,False
2013-06-13,22.1,22.54,21.98,9.08491415565,9999700.0,-0.2103,0.0018,-0.2121,9.2165,9.8879,8.5451,41.6451,8.9775,9.0464,-8.708,-132.1272,20.2011,True
