date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Upper Band,Real Middle Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-05-23,34.36,34.89,34.12,34.8,158000.0,-0.265,-0.9341,-0.6691,39.7532,37.226,34.6988,28.0665,35.418,36.8507,-8.5931,-190.8549,18.5567,False
2012-05-24,34.81,34.85,33.89,34.13,221600.0,-0.2929,-1.0353,-0.7424,39.94,37.0745,34.209,25.1486,34.914,36.5593,-7.7066,-194.1514,19.2955,False
2012-05-25,34.19,34.5,34.09,34.2,113700.0,-0.2839,-1.0972,-0.8133,40.013,36.902,33.791,26.0097,34.56,36.316,-8.4638,-184.4588,19.2955,False
2012-05-29,34.5,35.06,34.32,34.87,179600.0,-0.2131,-1.0798,-0.8666,39.8104,36.706,33.6016,33.8174,34.53,36.1347,-9.7555,-156.0866,16.6313,False
2012-05-30,34.6,34.7886,33.77,33.8,144800.0,-0.218,-1.1391,-0.9211,39.574,36.438,33.302,28.6452,34.36,35.8667,-12.5035,-172.308,18.4503,False
2012-05-31,33.78,33.89,33.11,33.47,259000.0,-0.2223,-1.199,-0.9767,39.3203,36.1615,33.0027,27.2672,34.094,35.5867,-13.236,-187.0128,20.5653,False
2012-06-01,32.89,33.0,32.59,32.62,239200.0,-0.2587,-1.3,-1.0414,39.1912,35.8675,32.5438,24.0713,33.792,35.252,-16.0305,-202.4238,22.1824,False
2012-06-04,32.75,33.28,32.72,33.2,229700.0,-0.2214,-1.3181,-1.0967,39.0214,35.635,32.2486,30.0639,33.592,34.9627,-12.9252,-178.8962,20.8354,False
2012-06-05,33.16,33.91,32.93,33.47,193500.0,-0.1592,-1.2957,-1.1365,38.8159,35.429,32.0421,32.7127,33.312,34.7347,-10.3384,-157.4148,17.8623,False
2012-06-06,33.69,33.86,33.38,33.49,213700.0,-0.1002,-1.2618,-1.1616,38.5128,35.2125,31.9122,32.9144,33.25,34.496,-10.5652,-145.6312,17.8623,False
2012-06-07,33.83,34.26,32.99,33.09,282200.0,-0.073,-1.2528,-1.1798,38.2046,34.9835,31.7624,30.9282,33.174,34.2287,-9.3651,-143.8781,15.9883,False
2012-06-08,32.99,33.2,32.86,32.89,190600.0,-0.054,-1.2474,-1.1933,37.8468,34.746,31.6452,29.9597,33.228,33.978,-12.5165,-152.3416,16.4275,False
2012-06-11,33.13,33.22,32.12,32.34,314600.0,-0.0636,-1.2728,-1.2092,37.4762,34.486,31.4958,27.4289,33.056,33.736,-12.3945,-159.0521,18.8822,False
2012-06-12,32.46,32.85,32.1806,32.65,195700.0,-0.0354,-1.2535,-1.2181,37.1514,34.274,31.3966,30.9513,32.892,33.578,-11.6935,-152.2519,18.8822,False
2012-06-13,32.5,33.12,32.3,32.41,203300.0,-0.0201,-1.2432,-1.2231,36.7231,34.041,31.3589,29.7534,32.676,33.4287,-11.3965,-143.6755,17.579,False
2012-06-14,32.46,32.63,32.085,32.2,192000.0,-0.0117,-1.2378,-1.226,36.196,33.796,31.396,28.7116,32.498,33.2553,-13.4023,-145.6049,18.3042,False
2012-06-15,32.3,32.4989,32.11,32.29,336400.0,0.0111,-1.2122,-1.2233,35.6743,33.578,31.4817,29.8396,32.378,33.1327,-12.9183,-138.2367,18.3042,True
2012-06-18,32.02,32.65,31.7901,32.61,216900.0,0.0564,-1.1528,-1.2092,35.2334,33.41,31.5866,33.8283,32.432,33.0267,-11.3494,-130.0269,19.3955,True
2012-06-19,32.76,33.04,32.45,32.8,100800.0,0.1049,-1.078,-1.1829,34.9817,33.299,31.6163,36.138,32.462,32.8887,-6.6139,-112.7888,17.4504,True
