date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Lower Band,Real Upper Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-04-18,41.57,41.73,41.18,41.43,1074000.0,0.6387,0.4897,-0.1491,39.7243,43.1007,41.4125,56.6828,41.206,41.3207,1.1882,91.0392,13.1898,False
2012-04-19,41.3,41.87,40.345,40.58,2608100.0,0.5933,0.4114,-0.1818,39.6361,43.0769,41.3565,50.684,41.23,41.2327,0.3836,69.5566,10.2995,False
2012-04-20,40.67,41.01,40.41,40.42,1986500.0,0.5411,0.3327,-0.2085,39.5569,43.0881,41.3225,49.6248,41.064,41.1247,-0.6781,55.5878,10.2995,False
2012-04-23,39.86,39.95,38.71,39.03,3925200.0,0.4642,0.1563,-0.3079,39.1915,43.2485,41.22,41.5437,40.652,40.9053,-3.1515,2.2668,4.6717,False
2012-04-24,39.22,39.22,38.46,38.71,1946200.0,0.3695,-0.0092,-0.3787,38.8063,43.2677,41.037,39.9395,40.034,40.6633,-7.5,-16.1983,3.8791,False
2012-04-25,39.24,39.47,38.98,39.27,1559100.0,0.2768,-0.0941,-0.3709,38.5998,43.1822,40.891,43.9946,39.602,40.4553,-7.3474,-1.109,4.6137,False
2012-04-26,39.24,40.28,39.06,40.19,1595000.0,0.2042,-0.0861,-0.2903,38.5439,43.0671,40.8055,49.9434,39.524,40.3513,-5.0224,21.1132,6.9565,False
2012-04-27,40.2,40.31,39.58,39.63,2123500.0,0.1386,-0.1236,-0.2622,38.4426,42.9274,40.685,46.7078,39.366,40.2307,-4.5691,19.2298,7.0425,False
2012-04-30,39.5,39.61,39.17,39.37,1405800.0,0.0765,-0.1723,-0.2487,38.3575,42.7175,40.5375,45.2495,39.434,40.1527,-6.8,-1.5854,5.6849,False
2012-05-01,39.48,41.28,39.37,40.73,2249000.0,0.0412,-0.1,-0.1411,38.436,42.478,40.457,53.4029,39.838,40.2387,-2.5726,43.0495,10.3924,False
2012-05-02,39.65,40.28,39.12,40.16,2144100.0,0.0154,-0.0876,-0.103,38.5276,42.1634,40.3455,50.0555,40.016,40.2747,-5.6454,15.3927,9.5599,False
2012-05-03,40.19,40.26,38.83,38.92,1914900.0,-0.0229,-0.1759,-0.153,38.4049,42.0031,40.204,43.6747,39.762,40.172,-4.0286,-8.3646,8.5939,False
2012-05-04,38.52,38.65,37.24,37.46,1954400.0,-0.0902,-0.3595,-0.2693,37.9365,42.0735,40.005,37.6243,39.328,39.9193,-6.9459,-76.5986,3.5051,False
2012-05-07,37.19,37.5,37.04,37.2,1491900.0,-0.1762,-0.52,-0.3439,37.454,42.222,39.838,36.6554,38.894,39.66,-8.313,-98.3856,2.8883,False
2012-05-08,36.81,36.93,35.44,36.61,3857200.0,-0.2783,-0.6869,-0.4086,36.9296,42.4634,39.6965,34.4956,38.07,39.314,-9.1513,-135.7265,1.8688,False
2012-05-09,36.09,37.12,35.79,36.8,2266200.0,-0.3816,-0.7947,-0.4131,36.5136,42.5974,39.5555,35.8008,37.398,39.0053,-7.5467,-121.8545,1.3032,False
2012-05-10,37.05,37.17,35.46,36.18,2559200.0,-0.4892,-0.9195,-0.4303,35.9971,42.6859,39.3415,33.4692,36.85,38.712,-8.6732,-129.7407,2.2617,False
2012-05-11,36.09,36.66,35.98,36.25,2061900.0,-0.5916,-1.0012,-0.4097,35.6104,42.5726,39.0915,33.9892,36.608,38.434,-11.3208,-123.7223,2.2617,False
2012-05-14,35.81,36.4869,35.725,35.93,1653200.0,-0.6891,-1.0794,-0.3903,35.2208,42.4462,38.8335,32.7359,36.354,38.2273,-12.6481,-127.2745,3.0144,False
2012-05-15,36.17,37.41,35.94,36.45,3586700.0,-0.7687,-1.0869,-0.3182,35.0815,42.0505,38.566,36.7938,36.322,38.0767,-10.9286,-101.4247,0.1743,False
2012-05-16,36.52,36.7,35.655,35.89,2709500.0,-0.8399,-1.125,-0.285,34.8792,41.6988,38.289,34.3993,36.14,37.8513,-12.0537,-117.0109,1.031,False
2012-05-17,35.91,36.03,34.7,34.73,3193000.0,-0.9189,-1.2346,-0.3157,34.4233,41.5697,37.9965,30.0579,35.85,37.4873,-13.9479,-145.5734,3.8431,False
2012-05-18,31.89,32.33,28.52,30.26,24181800.0,-1.0677,-1.6629,-0.5953,32.7417,42.2353,37.4885,19.7612,34.652,36.8627,-21.1656,-290.1798,18.9911,False
2012-05-21,30.32,31.91,29.98,31.85,4779500.0,-1.2247,-1.8528,-0.6281,31.8475,42.4115,37.1295,29.0271,33.836,36.3613,-20.1252,-242.1329,18.9911,False
2012-05-22,31.76,32.69,31.7,32.43,5449800.0,-1.3666,-1.9341,-0.5675,31.2099,42.4211,36.8155,32.092,33.032,35.808,-16.6497,-197.2047,16.5936,False
2012-05-23,32.01,32.39,31.31,32.18,4328800.0,-1.4924,-1.9958,-0.5033,30.629,42.293,36.461,31.4645,32.29,35.276,-17.9377,-193.3625,17.4394,False
2012-05-24,32.26,32.26,31.67,31.86,4970000.0,-1.6033,-2.0468,-0.4435,30.1478,41.9412,36.0445,30.6427,31.716,34.8053,-19.9106,-182.0348,17.4394,False
2012-05-25,31.89,32.2,31.68,32.12,1821100.0,-1.6912,-2.0428,-0.3516,29.7769,41.5611,35.669,32.1845,32.088,34.4493,-20.1191,-169.3091,17.4394,False
2012-05-29,32.51,32.965,32.29,32.78,2140500.0,-1.7457,-1.9637,-0.218,29.5765,41.1025,35.3395,36.0508,32.274,34.1547,-16.7761,-144.7168,15.0329,False
2012-05-30,32.32,32.41,31.76,32.15,2116200.0,-1.7825,-1.9296,-0.1471,29.5534,40.2676,34.9105,34.0646,32.218,33.8573,-21.4874,-151.8366,16.2421,False
2012-05-31,32.16,32.28,31.44,32.02,2764300.0,-1.8042,-1.8912,-0.087,29.5846,39.4224,34.5035,33.6546,32.186,33.5387,-19.861,-150.5553,16.9677,False
2012-06-01,31.27,31.39,30.74,30.84,3728500.0,-1.8301,-1.9338,-0.1036,29.3744,38.8246,34.0995,30.1285,31.982,33.1827,-22.0318,-164.3912,18.5376,False
2012-06-04,30.95,31.23,30.05,30.83,3968700.0,-1.8533,-1.9459,-0.0926,29.1026,38.4334,33.768,30.0998,31.724,32.8213,-19.1979,-162.3628,20.0528,False
2012-06-05,30.8,31.52,30.634,31.27,2841300.0,-1.8622,-1.8981,-0.0358,28.9652,37.9778,33.4715,33.0975,31.422,32.5107,-15.9467,-145.3278,19.1059,False
