date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-04-18,67.45,67.5,66.54,51.5620942564,21913700.0,0.713,0.4929,-0.2201,50.506,51.8059,53.1058,55.2524,51.6452,51.8071,1.0177,79.347,18.7021,False
2012-04-19,63.47,64.85,62.26,48.1597734888,41688100.0,0.6074,0.185,-0.4224,49.6151,51.6572,53.6992,35.7256,50.7577,51.5221,-3.0643,-12.7594,3.6495,False
2012-04-20,62.84,63.31,62.22,47.9173004025,23033000.0,0.4704,-0.0776,-0.548,48.8957,51.5017,54.1077,34.7869,50.0772,51.2306,-4.668,-30.4915,3.5248,False
2012-04-23,61.82,62.04,61.36,47.3846293683,14149300.0,0.3113,-0.325,-0.6364,48.139,51.3043,54.4697,32.7607,49.3549,50.8969,-7.0423,-56.8038,0.8699,False
2012-04-24,61.5,62.46,61.26,47.6170956289,15974500.0,0.1497,-0.4966,-0.6464,47.5777,51.0453,54.5129,34.5434,48.5282,50.5654,-9.0962,-54.7348,2.1166,False
2012-04-25,63.03,63.51,62.66,48.6947537905,16700900.0,0.0119,-0.5394,-0.5513,47.3218,50.844,54.3663,42.1601,47.9547,50.3155,-7.7828,-24.2693,5.1493,False
2012-04-26,63.32,63.99,63.1,49.1950950799,11419800.0,-0.0959,-0.5269,-0.4311,47.1694,50.682,54.1946,45.325,48.1618,50.1369,-6.8288,-12.8385,6.4961,False
2012-04-27,64.37,64.49,63.92,49.4029291539,7323100.0,-0.1756,-0.4945,-0.3189,47.0642,50.5377,54.0112,46.6248,48.4589,49.9825,-5.1478,-0.5276,7.8817,False
2012-04-30,63.98,64.13,63.4,49.1335146135,8570800.0,-0.2375,-0.485,-0.2475,46.9591,50.3749,53.7906,45.1345,48.8087,49.8454,-6.0779,-14.0752,6.217,False
2012-05-01,63.82,64.63,63.39,48.9872610058,10756200.0,-0.2867,-0.4837,-0.197,46.8869,50.1947,53.5026,44.3107,49.0827,49.713,-6.102,-13.029,7.611,False
2012-05-02,63.21,64.3,62.755,49.4491145037,10374400.0,-0.3174,-0.4403,-0.1229,46.8903,50.045,53.1997,47.5497,49.2336,49.6112,-6.4999,-18.699,5.5841,False
2012-05-03,64.48,64.7195,63.46,48.9179829812,8055800.0,-0.3427,-0.4437,-0.101,46.8232,49.8972,52.9713,44.37,49.1782,49.3659,-4.4166,-16.1739,6.7639,False
2012-05-04,63.04,63.07,61.38,47.6555834203,14060800.0,-0.3825,-0.5419,-0.1594,46.5916,49.694,52.7964,37.9136,48.8287,49.1216,-6.7012,-73.2652,0.4354,False
2012-05-07,61.28,62.31,61.25,47.6632809786,8798200.0,-0.4285,-0.6121,-0.1837,46.3747,49.5177,52.6608,37.9726,48.5346,48.8994,-8.0522,-83.0141,0.0584,False
2012-05-08,61.73,62.81,60.86,48.240597851,14090600.0,-0.4656,-0.6141,-0.1485,46.2656,49.3811,52.4966,42.3708,48.3853,48.6654,-6.3865,-74.9379,1.5044,False
2012-05-09,61.95,62.9,61.81,47.7325590033,12259900.0,-0.5023,-0.6492,-0.1469,46.1148,49.2189,52.323,39.7156,48.042,48.4101,-6.8148,-71.9515,1.7646,False
2012-05-10,62.59,62.8,62.22,48.0943442433,8300000.0,-0.5299,-0.6404,-0.1105,46.2729,48.9937,51.7145,42.4664,47.8773,48.4057,-8.4148,-65.0168,1.7646,False
2012-05-11,62.05,63.06,61.57,47.6170956289,9305500.0,-0.5568,-0.6643,-0.1075,46.2468,48.8086,51.3704,39.8935,47.8696,48.3857,-7.4417,-76.9102,0.2044,False
2012-05-14,61.17,62.13,60.97,47.309193297,7552900.0,-0.5855,-0.7,-0.1146,46.1913,48.6242,51.0572,38.2899,47.7988,48.3807,-7.9556,-97.6766,1.9845,False
2012-05-15,61.55,62.5,61.27,47.2937981804,10579300.0,-0.6126,-0.7213,-0.1086,46.3717,48.4014,50.4311,38.2077,47.6094,48.3591,-7.9258,-90.3378,0.8563,False
2012-05-16,61.664,61.93,59.07,45.500267097,21045600.0,-0.6646,-0.8728,-0.2081,46.2443,48.0983,49.9523,30.1272,47.1629,48.1462,-8.2519,-142.0787,7.0726,False
2012-05-17,59.26,59.36,56.55,43.999243229,24028100.0,-0.752,-1.1012,-0.3493,45.3166,47.8903,50.464,25.3246,46.3439,47.7998,-8.4657,-208.1197,13.3978,False
2012-05-18,57.46,58.3,55.72,43.0909313499,20135200.0,-0.8696,-1.3402,-0.4706,44.3327,47.649,50.9652,22.9524,45.4387,47.379,-7.9134,-227.4247,15.3282,False
2012-05-21,55.85,57.58,55.85,44.0454285788,20321700.0,-0.9829,-1.4359,-0.4531,43.8119,47.482,51.1521,30.3031,44.7859,47.0398,-7.1889,-209.4741,15.3282,False
2012-05-22,57.41,58.3,57.35,44.5919552179,16014200.0,-1.0765,-1.451,-0.3745,43.452,47.3307,51.2095,34.1568,44.2456,46.7468,-6.6603,-173.6666,13.0672,False
2012-05-23,57.5,58.42,57.09,44.7536039422,15300000.0,-1.1479,-1.4334,-0.2855,43.153,47.1337,51.1143,35.2906,44.0962,46.4337,-8.0145,-165.8709,13.6886,False
2012-05-24,58.41,58.68,56.65,43.9915456707,13447300.0,-1.2111,-1.464,-0.2529,42.787,46.8735,50.96,32.4666,44.0947,46.1053,-8.2982,-169.1673,14.7375,False
2012-05-25,57.2,57.73,57.0,44.1224041618,8024300.0,-1.2611,-1.4609,-0.1999,42.5285,46.6095,50.6905,33.4465,44.301,45.8697,-10.4822,-165.4605,14.7375,False
2012-05-29,57.9,58.75,57.61,44.9460428996,10972600.0,-1.2841,-1.3761,-0.0921,42.4304,46.4001,50.3698,39.3779,44.4811,45.6886,-8.3892,-137.1585,11.4893,False
2012-05-30,57.49,58.01,56.87,44.4149113771,11060800.0,-1.2945,-1.3364,-0.0418,42.2986,46.1715,50.0444,37.0938,44.4457,45.4336,-9.8523,-145.019,12.7028,False
2012-05-31,57.29,57.71,56.3,44.3066766061,13411000.0,-1.2954,-1.2987,-0.0033,42.27,45.9144,49.5588,36.6299,44.3563,45.2052,-9.8583,-147.2372,14.0951,False
2012-06-01,55.97,56.41,54.85,42.6135755458,17494600.0,-1.3142,-1.3894,-0.0752,41.9579,45.5992,49.2404,30.2824,44.0807,44.8398,-12.46,-175.4938,17.499,False
2012-06-04,55.12,55.92,54.92,43.1779425659,12294600.0,-1.3312,-1.3996,-0.0683,41.7167,45.3753,49.0338,34.3456,43.8918,44.5438,-10.9508,-162.6861,17.499,False
2012-06-05,55.54,57.3,55.45,44.2061728902,11730700.0,-1.3269,-1.3096,0.0173,41.668,45.2024,48.7368,41.052,43.7439,44.337,-7.6403,-132.2525,13.0885,True
2012-06-06,57.4,58.56,57.25,45.1532271363,12956000.0,-1.2913,-1.1486,0.1426,41.7998,45.048,48.2963,46.45,43.8915,44.1943,-6.3607,-98.3448,9.2798,True
2012-06-07,59.14,59.5,57.83,44.8401194059,9156700.0,-1.2399,-1.0344,0.2055,41.8976,44.9034,47.9092,44.9906,43.9982,44.1503,-4.9938,-87.2933,6.5571,True
2012-06-08,57.93,58.92,57.54,45.4276795912,8861500.0,-1.1692,-0.8862,0.2829,42.1277,44.7701,47.4125,48.2591,44.561,44.2455,-5.7701,-84.6885,7.2819,True
2012-06-11,58.97,59.29,57.67,44.6777672494,12484000.0,-1.0993,-0.8199,0.2794,42.3261,44.6231,46.9202,44.6327,44.861,44.3513,-5.5693,-84.5341,6.213,True
2012-06-12,57.95,59.45,57.6,45.9224671157,14961900.0,-1.0113,-0.6593,0.352,42.5162,44.5538,46.5914,51.1594,45.2043,44.4764,-3.8971,-71.1038,5.7497,True
2012-06-13,59.35,59.685,58.67,45.5668385825,7527900.0,-0.9199,-0.5543,0.3656,42.7865,44.4674,46.1484,49.3775,45.287,44.5414,-4.0884,-63.5757,5.0651,True
2012-06-14,58.88,58.89,56.01,43.9046617424,27236900.0,-0.8556,-0.5983,0.2573,42.7597,44.3877,46.0156,42.0444,45.0999,44.4848,-4.495,-96.2387,11.6488,True
2012-06-15,56.39,57.16,55.62,43.6804611454,30969900.0,-0.8132,-0.6439,0.1694,42.7228,44.3717,46.0207,41.1609,44.7504,44.4641,-3.2872,-107.7193,12.553,True
2012-06-18,56.12,57.3,55.8,43.8891996323,12788200.0,-0.7817,-0.6556,0.1261,42.8524,44.4116,45.9709,42.3689,44.5927,44.4485,-1.2876,-100.5133,12.1341,True
2012-06-19,56.77,57.32,56.67,44.0824760091,10031500.0,-0.7537,-0.6419,0.1119,42.8559,44.4135,45.9711,43.5192,44.2247,44.3909,-0.0183,-90.1788,12.0735,True
2012-06-20,57.18,57.68,56.66,44.0670138989,13417100.0,-0.728,-0.625,0.103,42.8249,44.3872,45.9496,43.4449,43.9248,44.3678,-0.6329,-85.2943,10.9756,True
2012-06-21,57.17,57.35,55.04,42.6213066008,15252300.0,-0.7264,-0.72,0.0064,42.5508,44.2806,46.0105,37.0975,43.6681,44.2554,-1.4044,-105.7756,14.7954,True
2012-06-22,55.27,55.94,55.14,43.0155904094,13144700.0,-0.7321,-0.7548,-0.0227,42.4191,44.2318,46.0446,39.673,43.5351,44.2822,-4.2546,-106.796,14.7954,False
2012-06-25,55.13,55.37,53.45,41.4036654273,18901100.0,-0.7661,-0.9021,-0.136,41.9028,44.0959,46.289,33.6398,43.038,44.1639,-3.6706,-129.0548,18.5651,False
2012-06-26,53.77,54.49,53.41,41.6858489374,14081800.0,-0.8098,-0.9846,-0.1748,41.5412,43.9329,46.3246,35.4801,42.5587,43.9959,-6.8475,-127.771,18.6517,False
2012-06-27,53.9,55.44,53.84,42.4512233893,11946400.0,-0.8432,-0.9771,-0.1338,41.3701,43.8347,46.2993,40.2921,42.2355,43.8158,-4.4303,-109.4002,15.6795,False
2012-06-28,54.58,55.2,53.77,41.97962903,13326100.0,-0.8741,-0.9976,-0.1235,41.1369,43.7183,46.2998,38.4014,42.1072,43.6251,-4.3493,-111.8672,15.8375,False
2012-06-29,55.71,55.95,54.4726,43.0465146297,13548300.0,-0.8827,-0.9172,-0.0345,41.1889,43.74,46.2911,44.6923,42.1134,43.4663,-0.8155,-91.3024,13.5201,False
2012-07-02,55.65,55.86,54.87,43.0349180471,9894500.0,-0.8751,-0.8447,0.0304,41.1747,43.7328,46.291,44.6392,42.4396,43.3568,-0.1073,-87.1493,13.5201,True
2012-07-03,55.92,56.545,55.75,43.4949158237,7578700.0,-0.8484,-0.7416,0.1068,41.1466,43.6973,46.2479,47.2999,42.8014,43.195,-1.3176,-71.1045,11.4148,True
2012-07-05,56.27,56.6801,55.77,43.4871847687,10344500.0,-0.8093,-0.6529,0.1564,41.1517,43.614,46.0763,47.259,43.0086,43.0563,-3.2102,-68.2754,11.0019,True
2012-07-06,55.87,56.23,54.83,42.7604655921,8514400.0,-0.7743,-0.634,0.1402,41.0883,43.51,45.9317,43.473,43.1648,42.98,-5.4958,-82.308,13.276,True
2012-07-09,55.39,56.0,54.93,42.7681966472,7805700.0,-0.7417,-0.6114,0.1303,41.1036,43.377,45.6504,43.5246,43.1091,42.9192,-4.9559,-81.7204,13.276,True
2012-07-10,55.49,55.86,54.8,42.6522308211,10072300.0,-0.7125,-0.5959,0.1166,41.0635,43.2757,45.488,42.8957,43.0326,42.8367,-5.7851,-83.3908,13.5918,True
2012-07-11,54.97,55.15,53.62,42.0337464155,14663200.0,-0.6953,-0.6263,0.069,41.1707,43.0813,44.9919,39.6239,42.7404,42.7002,-7.233,-102.0704,16.4017,True
2012-07-12,53.84,54.39,53.11,41.538958891,11685300.0,-0.6927,-0.6825,0.0102,41.2282,42.8799,44.5316,37.1923,42.3507,42.5316,-8.8716,-115.7662,17.5797,True
2012-07-13,53.64,55.185,53.62,42.5053407748,10125400.0,-0.6825,-0.6417,0.0409,41.2204,42.8099,44.3995,44.3399,42.2997,42.5239,-6.2914,-94.6565,15.0106,True
2012-07-16,55.26,55.33,53.96,42.0260153604,11611400.0,-0.6741,-0.6406,0.0336,41.1554,42.7272,44.2991,41.8113,42.1513,42.4579,-3.2015,-93.8545,14.5463,True
2012-07-17,54.6,55.33,53.09,42.1033259111,15934200.0,-0.6646,-0.6262,0.0383,41.1391,42.6379,44.1368,42.3792,42.0415,42.5046,-3.438,-98.2237,16.6004,True
2012-07-18,54.56,56.64,54.55,43.3325636673,21808000.0,-0.6336,-0.5098,0.1238,41.2147,42.6004,43.9861,50.5931,42.3012,42.6143,-1.1863,-59.2857,12.4609,True
2012-07-19,58.85,58.89,57.4875,45.1764203015,26039100.0,-0.56,-0.2657,0.2943,40.9812,42.6559,44.3307,59.8024,43.0287,42.796,2.0978,8.3102,5.8945,True
2012-07-20,58.19,58.59,57.63,44.5927256437,12627500.0,-0.4716,-0.118,0.3536,40.8794,42.7545,44.6296,56.2464,43.4462,42.9702,2.1622,2.4392,5.8945,True
2012-07-23,56.53,57.66,56.07,44.3144076612,11996000.0,-0.3819,-0.0231,0.3588,40.8264,42.8194,44.8124,54.5882,43.9039,43.0548,3.0747,-22.0699,9.6761,True
2012-07-24,57.43,57.49,56.3,43.9007962149,8767200.0,-0.3018,0.0185,0.3203,41.0096,42.9443,44.8789,52.1405,44.2634,43.1125,3.8288,-24.5291,9.6761,True
2012-07-25,56.69,57.71,56.4001,44.2834834409,10990200.0,-0.2252,0.0814,0.3066,41.1461,43.0742,45.0022,54.1773,44.4536,43.1651,5.9093,-13.6247,9.037,True
