date,open,high,low,Close,vol,MACD,MACD_Signal,MACD_Hist,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-05-18,16.83,16.92,16.52,12.1563215859,5375000.0,-0.2136,-0.1213,-0.0923,12.985,13.8338,12.1362,30.8407,12.4812,12.8423,-6.9819,-225.095,13.5996,False
2012-05-21,16.55,16.94,16.45,12.4429579474,5946300.0,-0.2152,-0.1401,-0.0751,12.9475,13.8222,12.0728,39.7487,12.4238,12.7712,-6.0455,-187.6917,14.2146,False
2012-05-22,17.02,17.15,16.84,12.4503075977,3456600.0,-0.2134,-0.1547,-0.0587,12.9064,13.7932,12.0195,39.9612,12.39,12.6982,-5.6915,-138.6717,11.7868,False
2012-05-23,16.82,17.075,16.76,12.5238041006,4369500.0,-0.2038,-0.1645,-0.0392,12.8571,13.7135,12.0007,42.1468,12.3827,12.6478,-7.2011,-134.7113,12.5073,False
2012-05-24,17.08,17.19,16.88,12.5164544503,4159700.0,-0.1944,-0.1705,-0.0239,12.8108,13.6352,11.9864,41.9831,12.418,12.6061,-6.6268,-116.3194,11.1798,False
2012-05-25,17.06,17.08,16.86,12.4209089965,3524500.0,-0.1926,-0.1749,-0.0176,12.7494,13.4942,12.0047,39.8277,12.4709,12.5669,-8.5163,-127.5072,11.3647,False
2012-05-29,17.03,17.09,16.82,12.5091048,5340300.0,-0.1818,-0.1763,-0.0055,12.6995,13.3635,12.0355,42.7353,12.4841,12.5385,-8.2662,-119.6627,11.7386,False
2012-05-30,16.83,17.0,16.62,12.2224684386,5156000.0,-0.1942,-0.1799,-0.0143,12.6333,13.2041,12.0625,36.5803,12.4385,12.4949,-8.9936,-155.669,13.5917,False
2012-05-31,16.61,16.66,16.305,12.0534264818,8482900.0,-0.2152,-0.187,-0.0283,12.5719,13.1143,12.0296,33.529,12.3445,12.4552,-9.1107,-199.6274,16.403,False
2012-06-01,16.23,16.23,15.93,11.7373915192,7187100.0,-0.2544,-0.2005,-0.054,12.5018,13.0924,11.9111,28.7288,12.1887,12.391,-10.4799,-251.4557,19.571,False
2012-06-04,15.97,16.1,15.785,11.7153425683,4752400.0,-0.284,-0.2172,-0.0668,12.4371,13.073,11.8011,28.4246,12.0475,12.3332,-9.6267,-246.8321,20.7519,False
2012-06-05,15.87,16.13,15.81,11.7961887215,6349600.0,-0.2975,-0.2332,-0.0643,12.3801,13.0312,11.729,31.283,11.905,12.271,-9.5852,-219.586,20.38,False
2012-06-06,16.11,16.36,16.06,12.0240278806,9681600.0,-0.2865,-0.2439,-0.0426,12.3375,12.9642,11.7108,38.6777,11.8653,12.2313,-7.0982,-170.5074,17.5573,False
2012-06-07,16.53,16.67,16.49,12.1710208865,8785100.0,-0.2629,-0.2477,-0.0152,12.3136,12.9273,11.6999,42.9234,11.8888,12.2053,-4.0852,-122.7277,13.8966,False
2012-06-08,16.5,16.58,16.17,11.9064334759,8290700.0,-0.2625,-0.2506,-0.0118,12.2739,12.8851,11.6627,37.8672,11.9226,12.1764,-4.9312,-147.1078,16.6221,False
2012-06-11,16.35,16.364,16.02,11.781489421,4511200.0,-0.2692,-0.2543,-0.0148,12.2339,12.8636,11.6041,35.7372,11.9358,12.1514,-5.7373,-159.4697,17.8615,False
