date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Lower Band,Real Upper Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-07-05,28.5,28.52,28.09,22.6258030048,4695400.0,-0.1966,0.1576,-0.3541,21.3489,23.123,22.236,50.5452,22.4283,22.1904,-0.3842,-53.3785,10.1527,True
2012-07-06,28.22,28.32,27.375,22.076285086,7054200.0,-0.1999,0.1234,-0.3233,21.3335,23.0978,22.2157,45.5448,22.5637,22.1899,-2.3785,-73.3132,13.4323,True
2012-07-09,27.67,27.715,27.26,21.829400224,6768900.0,-0.2199,0.0827,-0.3026,21.3051,23.0378,22.1715,43.4745,22.3598,22.166,-2.9247,-85.4016,13.9461,True
2012-07-10,27.3,27.79,27.09,21.8134721683,9540200.0,-0.2343,0.0546,-0.2889,21.2829,23.0393,22.1611,43.3383,22.218,22.1326,-3.5069,-85.0888,14.7071,True
2012-07-11,27.35,27.75,27.15,21.7417959181,7951600.0,-0.2487,0.0322,-0.2809,21.241,23.0064,22.1237,42.6936,22.0174,22.0811,-2.3231,-84.3052,14.7071,True
2012-07-12,27.01,27.08,26.57,21.2958103608,9661300.0,-0.2927,-0.0094,-0.2832,21.1275,23.0339,22.0807,38.8412,21.7514,21.9855,-3.8694,-108.6812,17.2879,False
2012-07-13,26.74,27.12,26.67,21.5188031394,7268000.0,-0.306,-0.0182,-0.2878,21.0683,23.0365,22.0524,41.6612,21.6399,21.955,-3.1947,-100.7518,17.0395,False
2012-07-16,26.49,26.72,26.37,21.0489254987,8016200.0,-0.3505,-0.0501,-0.3003,20.9215,23.0694,21.9955,37.7331,21.4838,21.869,-4.5714,-118.6214,18.3582,False
2012-07-17,26.59,26.68,26.06,21.1763499436,8203800.0,-0.3711,-0.0566,-0.3145,20.8187,23.0584,21.9385,39.3935,21.3563,21.8485,-5.4571,-120.076,19.6994,False
2012-07-18,26.59,27.685,26.45,22.0205368914,8045900.0,-0.3158,-0.001,-0.3147,20.8245,23.0032,21.9138,49.0391,21.4121,21.8814,-2.3801,-78.9799,13.5492,False
2012-07-19,27.92,28.15,27.71,22.3311339759,8153800.0,-0.244,0.0566,-0.3006,20.8514,22.9364,21.8939,52.0475,21.6191,21.9329,-1.4011,-42.8105,10.8689,True
2012-07-20,28.02,28.02,27.22,21.701975779,9478300.0,-0.2352,0.0523,-0.2875,20.8351,22.9252,21.8802,46.1364,21.6558,21.9531,-2.0622,-64.9169,13.0679,True
2012-07-23,26.67,27.0,26.14,21.3595225832,9563900.0,-0.2529,0.0277,-0.2806,20.785,22.8774,21.8312,43.2704,21.7179,21.8538,-4.0171,-107.2767,17.6234,True
2012-07-24,26.5,27.08,26.21,21.160421888,11880600.0,-0.2798,0.0006,-0.2804,20.7384,22.8918,21.8151,41.6584,21.7147,21.763,-2.5198,-108.2933,17.1609,True
